WORK_ZONE_NAME;ZIPCODE;PAIS;ESTATUS;WORK_ZONE_LABEL
COMARCA NGOBE BUGLE, KUSAPIN, C.P. 120707;120707;PA;active;PA120707
COMARCA NGOBE BUGLE, KUSAPIN, C.P. 120706;120706;PA;active;PA120706
COMARCA NGOBE BUGLE, KUSAPIN, C.P. 120705;120705;PA;active;PA120705
COMARCA NGOBE BUGLE, KUSAPIN, C.P. 120704;120704;PA;active;PA120704
COMARCA NGOBE BUGLE, KUSAPIN, C.P. 120703;120703;PA;active;PA120703
COMARCA NGOBE BUGLE, KUSAPIN, C.P. 120702;120702;PA;active;PA120702
COMARCA NGOBE BUGLE, KUSAPIN, C.P. 120701;120701;PA;active;PA120701
COMARCA NGOBE BUGLE, KANKINTU, C.P. 120608;120608;PA;active;PA120608
COMARCA NGOBE BUGLE, KANKINTU, C.P. 120607;120607;PA;active;PA120607
COMARCA NGOBE BUGLE, KANKINTU, C.P. 120606;120606;PA;active;PA120606
COMARCA NGOBE BUGLE, KANKINTU, C.P. 120605;120605;PA;active;PA120605
COMARCA NGOBE BUGLE, KANKINTU, C.P. 120604;120604;PA;active;PA120604
COMARCA NGOBE BUGLE, KANKINTU, C.P. 120603;120603;PA;active;PA120603
COMARCA NGOBE BUGLE, KANKINTU, C.P. 120602;120602;PA;active;PA120602
COMARCA NGOBE BUGLE, KANKINTU, C.P. 120601;120601;PA;active;PA120601
COMARCA NGOBE BUGLE, NURUM, C.P. 120509;120509;PA;active;PA120509
COMARCA NGOBE BUGLE, NURUM, C.P. 120508;120508;PA;active;PA120508
COMARCA NGOBE BUGLE, NURUM, C.P. 120507;120507;PA;active;PA120507
COMARCA NGOBE BUGLE, NURUM, C.P. 120506;120506;PA;active;PA120506
COMARCA NGOBE BUGLE, NURUM, C.P. 120505;120505;PA;active;PA120505
COMARCA NGOBE BUGLE, NURUM, C.P. 120504;120504;PA;active;PA120504
COMARCA NGOBE BUGLE, NURUM, C.P. 120503;120503;PA;active;PA120503
COMARCA NGOBE BUGLE, NURUM, C.P. 120502;120502;PA;active;PA120502
COMARCA NGOBE BUGLE, NURUM, C.P. 120501;120501;PA;active;PA120501
COMARCA NGOBE BUGLE, NOLE DUIMA, C.P. 120405;120405;PA;active;PA120405
COMARCA NGOBE BUGLE, NOLE DUIMA, C.P. 120404;120404;PA;active;PA120404
COMARCA NGOBE BUGLE, NOLE DUIMA, C.P. 120403;120403;PA;active;PA120403
COMARCA NGOBE BUGLE, NOLE DUIMA, C.P. 120402;120402;PA;active;PA120402
COMARCA NGOBE BUGLE, NOLE DUIMA, C.P. 120401;120401;PA;active;PA120401
COMARCA NGOBE BUGLE, MUNA, C.P. 120312;120312;PA;active;PA120312
COMARCA NGOBE BUGLE, MUNA, C.P. 120311;120311;PA;active;PA120311
COMARCA NGOBE BUGLE, MUNA, C.P. 120310;120310;PA;active;PA120310
COMARCA NGOBE BUGLE, MUNA, C.P. 120309;120309;PA;active;PA120309
COMARCA NGOBE BUGLE, MUNA, C.P. 120308;120308;PA;active;PA120308
COMARCA NGOBE BUGLE, MUNA, C.P. 120307;120307;PA;active;PA120307
COMARCA NGOBE BUGLE, MUNA, C.P. 120306;120306;PA;active;PA120306
COMARCA NGOBE BUGLE, MUNA, C.P. 120305;120305;PA;active;PA120305
COMARCA NGOBE BUGLE, MUNA, C.P. 120304;120304;PA;active;PA120304
COMARCA NGOBE BUGLE, MUNA, C.P. 120303;120303;PA;active;PA120303
COMARCA NGOBE BUGLE, MUNA, C.P. 120302;120302;PA;active;PA120302
COMARCA NGOBE BUGLE, MUNA, C.P. 120301;120301;PA;active;PA120301
COMARCA NGOBE BUGLE, MIRONO, C.P. 120208;120208;PA;active;PA120208
COMARCA NGOBE BUGLE, MIRONO, C.P. 120207;120207;PA;active;PA120207
COMARCA NGOBE BUGLE, MIRONO, C.P. 120206;120206;PA;active;PA120206
COMARCA NGOBE BUGLE, MIRONO, C.P. 120205;120205;PA;active;PA120205
COMARCA NGOBE BUGLE, MIRONO, C.P. 120204;120204;PA;active;PA120204
COMARCA NGOBE BUGLE, MIRONO, C.P. 120203;120203;PA;active;PA120203
COMARCA NGOBE BUGLE, MIRONO, C.P. 120202;120202;PA;active;PA120202
COMARCA NGOBE BUGLE, MIRONO, C.P. 120201;120201;PA;active;PA120201
COMARCA NGOBE BUGLE, BESIKO, C.P. 120108;120108;PA;active;PA120108
COMARCA NGOBE BUGLE, BESIKO, C.P. 120107;120107;PA;active;PA120107
COMARCA NGOBE BUGLE, BESIKO, C.P. 120106;120106;PA;active;PA120106
COMARCA NGOBE BUGLE, BESIKO, C.P. 120105;120105;PA;active;PA120105
COMARCA NGOBE BUGLE, BESIKO, C.P. 120104;120104;PA;active;PA120104
COMARCA NGOBE BUGLE, BESIKO, C.P. 120103;120103;PA;active;PA120103
COMARCA NGOBE BUGLE, BESIKO, C.P. 120102;120102;PA;active;PA120102
COMARCA NGOBE BUGLE, BESIKO, C.P. 120101;120101;PA;active;PA120101
COMARCA EMBERA, SAMBU, C.P. 110202;110202;PA;active;PA110202
COMARCA EMBERA, SAMBU, C.P. 110201;110201;PA;active;PA110201
COMARCA EMBERA, CEMACO, C.P. 110103;110103;PA;active;PA110103
COMARCA EMBERA, CEMACO, C.P. 110102;110102;PA;active;PA110102
COMARCA EMBERA, CEMACO, C.P. 110101;110101;PA;active;PA110101
COMARCA KUNA YALA, COMARCA KUNA YALA, C.P. 100104;100104;PA;active;PA100104
SANBLAS, COMARCA KUNA YALA, C.P. 100103;100103;PA;active;PA100103
